stop_id,latitude,longitude,visit_count,avg_dwell_time,total_dwell_time,num_buses
59,13.048884086930942,80.23336013476292,19,95.89473684210526,1822.0,3
13,12.990281619661893,80.2280450272532,19,65.94736842105263,1253.0,10
172,13.051680743848348,80.27690002578528,19,715.421052631579,13593.0,2
99,13.044621538641797,80.26369566108843,18,41.388888888888886,745.0,7
52,13.03770459941317,80.25637544712197,18,81.55555555555556,1468.0,5
71,13.036449544823281,80.24624605336433,17,48.294117647058826,821.0,9
75,13.05129821441479,80.2493424046387,17,217.58823529411765,3699.0,3
20,12.98945762782175,80.23267117048833,17,34055.82352941176,578949.0,4
98,13.052763762977204,80.25081321225937,16,49.4375,791.0,6
162,13.045262425246346,80.26024438587929,16,68.0625,1089.0,2
115,13.03815521996336,80.25687078342223,15,83.66666666666667,1255.0,3
56,13.02389747965093,80.27407252859324,15,54.666666666666664,820.0,4
93,13.052589384011993,80.24058280616848,15,54.4,816.0,4
119,12.990801264060325,80.22015722809462,15,82.46666666666667,1237.0,5
87,13.02767563517554,80.2314662741886,14,66.92857142857143,937.0,4
125,13.052366085106573,80.22030698335494,14,51.857142857142854,726.0,4
54,13.043369970741026,80.27944127372632,14,60.642857142857146,849.0,5
113,13.043370991493113,80.27455368920437,13,59.15384615384615,769.0,3
111,13.044369157385441,80.26687628854454,13,43.07692307692308,560.0,4
140,13.05760146897834,80.28186834528334,13,67.84615384615384,882.0,4
77,13.043146937093361,80.24622045823968,13,41.76923076923077,543.0,9
47,12.996251069465766,80.2677844334374,12,149.08333333333334,1789.0,4
4,12.99279191799715,80.23058755455376,12,594.8333333333334,7138.0,6
57,13.04670315465288,80.23289662797441,12,111.25,1335.0,4
62,13.047691910959117,80.23311535846305,12,128.16666666666666,1538.0,3
43,12.988644653443936,80.2559488600041,11,97.45454545454545,1072.0,3
83,13.043231865895331,80.24777824255206,11,87.0,957.0,6
94,13.027273064835503,80.23439339754367,11,76.81818181818181,845.0,4
61,13.053207788614559,80.22306837269134,11,36.36363636363637,400.0,7
117,13.053395953987362,80.22388054371478,10,38.5,385.0,4
89,12.997341610595317,80.25587471459531,10,41.9,419.0,4
17,12.986344397743276,80.23494006941799,10,40.2,402.0,5
3,12.990839245535815,80.22770715012297,10,770.9,7709.0,4
31,12.98850890612319,80.24112282498498,10,60.5,605.0,3
112,13.043516669605125,80.27404846385022,9,44.0,396.0,4
151,13.02196472993634,80.22610625405285,9,35.22222222222222,317.0,4
14,12.992529731963419,80.23369874378604,8,82.875,663.0,4
163,13.03317125170951,80.27739914285715,8,45.5,364.0,2
58,13.053969400754243,80.22729271322751,8,45.25,362.0,5
46,13.042925446694095,80.27951275789474,8,52.25,418.0,3
97,13.051867088860755,80.25126968965101,8,53.875,431.0,4
42,13.006585186565935,80.24425793155102,8,71.5,572.0,4
146,13.006489757547424,80.25268504476787,8,58.0,464.0,2
96,13.047799804997496,80.25402725686804,7,52.285714285714285,366.0,4
37,13.006874649246754,80.251350507953,7,41.42857142857143,290.0,4
131,13.005266558578692,80.2474464502401,7,115.42857142857143,808.0,3
167,13.04600157308194,80.23275243075248,7,101.14285714285714,708.0,1
50,13.050699172465684,80.23377718369537,7,69.42857142857143,486.0,2
18,13.002487554017094,80.2400351188751,6,45.0,270.0,4
30,12.986635811047718,80.23636246042643,6,650.1666666666666,3901.0,2
109,12.98799428915544,80.25205298967136,6,84.33333333333333,506.0,3
91,13.025362420959041,80.22983238111222,6,54.5,327.0,4
108,12.987476375697767,80.25691321342407,6,93.5,561.0,3
64,13.057329702720963,80.25732211145807,6,39.0,234.0,5
103,12.987089697812097,80.25184320926641,6,58.166666666666664,349.0,3
138,12.981731254897928,80.2304907532832,6,45.666666666666664,274.0,5
139,12.981351136734006,80.2395341626421,6,40.833333333333336,245.0,4
25,12.989650949789985,80.22757928718265,6,436.1666666666667,2617.0,3
36,13.006614438289843,80.2410789529507,6,110.5,663.0,5
149,13.005099387121213,80.25716309536541,6,65.5,393.0,4
164,13.051980784423534,80.250736,6,39.0,234.0,3
171,13.053306549289898,80.27051834595372,6,45.666666666666664,274.0,2
68,13.023093222185308,80.22704840109266,6,46.833333333333336,281.0,5
176,13.053476183261026,80.26814876116474,6,38.333333333333336,230.0,2
133,12.986669044413365,80.22298086746439,5,48.2,241.0,3
166,13.058037750414789,80.27823471399117,5,173.8,869.0,2
170,13.052596377921144,80.27424116301076,5,54.6,273.0,2
116,13.038954507225691,80.24999637278633,5,37.2,186.0,2
110,12.98747561270103,80.25734532102197,5,96.6,483.0,3
144,13.027867229743588,80.23549569523809,5,91.8,459.0,5
121,13.041949754666666,80.23373455520773,5,37.6,188.0,2
76,13.039803323653029,80.24409353713476,5,38.8,194.0,3
84,13.041615005490502,80.22725211129872,5,62.4,312.0,2
24,12.990145049711696,80.23413024473687,4,187.5,750.0,2
150,13.030824528662873,80.24031423271693,4,72.0,288.0,2
